Episode #,State,Action,Reward,Next State,Terminated
1,"(array([-0.5031855,  0.       ], dtype=float32), {})",1,-1.0,[-5.033385e-01 -1.530036e-04],0
1,[-5.033385e-01 -1.530036e-04],1,-1.0,[-5.0364339e-01 -3.0486178e-04],0
1,[-5.0364339e-01 -3.0486178e-04],1,-1.0,[-5.040978e-01 -4.544377e-04],0
1,[-5.040978e-01 -4.544377e-04],1,-1.0,[-0.50469846 -0.00060061],0
1,[-0.50469846 -0.00060061],1,-1.0,[-0.5054408  -0.00074229],0
1,[-0.5054408  -0.00074229],1,-1.0,[-0.50631917 -0.00087841],0
1,[-0.50631917 -0.00087841],1,-1.0,[-0.5073271  -0.00100794],0
1,[-0.5073271  -0.00100794],1,-1.0,[-0.508457   -0.00112993],0
1,[-0.508457   -0.00112993],1,-1.0,[-0.5097005  -0.00124346],0
1,[-0.5097005  -0.00124346],1,-1.0,[-0.51104814 -0.00134766],0
1,[-0.51104814 -0.00134766],1,-1.0,[-0.5124899  -0.00144177],0
1,[-0.5124899  -0.00144177],1,-1.0,[-0.514015   -0.00152507],0
1,[-0.514015   -0.00152507],1,-1.0,[-0.51561195 -0.00159694],0
1,[-0.51561195 -0.00159694],1,-1.0,[-0.5172688  -0.00165684],0
1,[-0.5172688  -0.00165684],1,-1.0,[-0.5189731  -0.00170431],0
1,[-0.5189731  -0.00170431],1,-1.0,[-0.5207121 -0.001739 ],0
1,[-0.5207121 -0.001739 ],1,-1.0,[-0.52247274 -0.00176065],0
1,[-0.52247274 -0.00176065],1,-1.0,[-0.5242418 -0.0017691],0
1,[-0.5242418 -0.0017691],1,-1.0,[-0.5260061  -0.00176427],0
1,[-0.5260061  -0.00176427],1,-1.0,[-0.52775234 -0.00174622],0
1,[-0.52775234 -0.00174622],1,-1.0,[-0.5294674  -0.00171507],0
1,[-0.5294674  -0.00171507],1,-1.0,[-0.5311384  -0.00167106],0
1,[-0.5311384  -0.00167106],1,-1.0,[-0.532753   -0.00161451],0
1,[-0.532753   -0.00161451],1,-1.0,[-0.53429884 -0.00154586],0
1,[-0.53429884 -0.00154586],1,-1.0,[-0.53576446 -0.00146563],0
1,[-0.53576446 -0.00146563],1,-1.0,[-0.5371389  -0.00137441],0
